Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
3.5	pekanbaru	combined	Drop	0	0	0	0
3.5	bengkulu	combined	Drop	0	0	0	0
3.5	palembang	combined	Drop	0	0	0	0
3.5	bandar-lampung	combined	Drop	0	0	0	0
3.5	serang	combined	Drop	0	0	0	0
3.5	jkt-ui	combined	Drop	0	0	0	0
3.5	jkt-dikti	combined	Drop	0	0	0	0
3.5	bandung	combined	Drop	0	0	0	0
3.5	semarang	combined	Drop	0	0	0	0
3.5	jogjakarta	combined	Drop	0	0	0	0
3.5	surabaya	combined	Drop	0	0	0	0
3.5	malang	combined	Drop	0	0	0	0
3.5	pontianak	combined	Drop	0	0	0	0
3.5	palangkaraya	combined	Drop	0	0	0	0
3.5	banjarmasin	combined	Drop	0	0	0	0
3.5	samarinda	combined	Drop	0	0	0	0
3.5	gorontalo	combined	Drop	0	0	0	0
3.5	manado	combined	Drop	0	0	0	0
3.5	palu	combined	Drop	0	0	0	0
3.5	makasar	combined	Drop	0	0	0	0
3.5	kendari	combined	Drop	442	461	221	230.712
3.5	denpasar	combined	Drop	0	0	0	0
3.5	mataram	combined	Drop	0	0	0	0
3.5	kupang	combined	Drop	0	0	0	0
3.5	ternate	combined	Drop	0	0	0	0
3.5	ambon	combined	Drop	0	0	0	0
3.5	manokwari	combined	Drop	0	0	0	0
3.5	jayapura	combined	Drop	0	0	0	0
3.5	host	combined	Drop	0	0	0	0
4	banda-aceh	combined	Drop	0	0	0	0
4	medan	combined	Drop	0	0	0	0
4	padang	combined	Drop	0	0	0	0
4	jambi	combined	Drop	0	0	0	0
4	pekanbaru	combined	Drop	0	0	0	0
4	bengkulu	combined	Drop	0	0	0	0
4	palembang	combined	Drop	0	0	0	0
4	bandar-lampung	combined	Drop	0	0	0	0
4	serang	combined	Drop	0	0	0	0
4	jkt-ui	combined	Drop	0	0	0	0
4	jkt-dikti	combined	Drop	0	0	0	0
4	bandung	combined	Drop	0	0	0	0
4	semarang	combined	Drop	0	0	0	0
4	jogjakarta	combined	Drop	0	0	0	0
4	surabaya	combined	Drop	0	0	0	0
4	malang	combined	Drop	0	0	0	0
4	pontianak	combined	Drop	0	0	0	0
4	palangkaraya	combined	Drop	0	0	0	0
4	banjarmasin	combined	Drop	0	0	0	0
4	samarinda	combined	Drop	0	0	0	0
4	gorontalo	combined	Drop	0	0	0	0
4	manado	combined	Drop	0	0	0	0
4	palu	combined	Drop	0	0	0	0
4	makasar	combined	Drop	0	0	0	0
4	kendari	combined	Drop	443	463	222	231.756
4	denpasar	combined	Drop	0	0	0	0
4	mataram	combined	Drop	0	0	0	0
4	kupang	combined	Drop	0	0	0	0
4	ternate	combined	Drop	0	0	0	0
4	ambon	combined	Drop	0	0	0	0
4	manokwari	combined	Drop	0	0	0	0
4	jayapura	combined	Drop	0	0	0	0
4	host	combined	Drop	0	0	0	0
4.5	banda-aceh	combined	Drop	0	0	0	0
4.5	medan	combined	Drop	0	0	0	0
4.5	padang	combined	Drop	0	0	0	0
4.5	jambi	combined	Drop	0	0	0	0
4.5	pekanbaru	combined	Drop	0	0	0	0
4.5	bengkulu	combined	Drop	0	0	0	0
4.5	palembang	combined	Drop	0	0	0	0
4.5	bandar-lampung	combined	Drop	0	0	0	0
4.5	serang	combined	Drop	0	0	0	0
4.5	jkt-ui	combined	Drop	0	0	0	0
4.5	jkt-dikti	combined	Drop	0	0	0	0
4.5	bandung	combined	Drop	0	0	0	0
4.5	semarang	combined	Drop	0	0	0	0
4.5	jogjakarta	combined	Drop	0	0	0	0
4.5	surabaya	combined	Drop	0	0	0	0
4.5	malang	combined	Drop	0	0	0	0
4.5	pontianak	combined	Drop	0	0	0	0
4.5	palangkaraya	combined	Drop	0	0	0	0
4.5	banjarmasin	combined	Drop	0	0	0	0
4.5	samarinda	combined	Drop	0	0	0	0
4.5	gorontalo	combined	Drop	0	0	0	0
4.5	manado	combined	Drop	0	0	0	0
4.5	palu	combined	Drop	0	0	0	0
4.5	makasar	combined	Drop	0	0	0	0
4.5	kendari	combined	Drop	442	461	221	230.712
4.5	denpasar	combined	Drop	0	0	0	0
4.5	mataram	combined	Drop	0	0	0	0
4.5	kupang	combined	Drop	0	0	0	0
4.5	ternate	combined	Drop	0	0	0	0
4.5	ambon	combined	Drop	0	0	0	0
4.5	manokwari	combined	Drop	0	0	0	0
4.5	jayapura	combined	Drop	0	0	0	0
4.5	host	combined	Drop	0	0	0	0
5	banda-aceh	combined	Drop	0	0	0	0
5	medan	combined	Drop	0	0	0	0
5	padang	combined	Drop	0	0	0	0
5	jambi	combined	Drop	0	0	0	0
5	pekanbaru	combined	Drop	0	0	0	0
5	bengkulu	combined	Drop	0	0	0	0
5	palembang	combined	Drop	0	0	0	0
5	bandar-lampung	combined	Drop	0	0	0	0
5	serang	combined	Drop	0	0	0	0
5	jkt-ui	combined	Drop	0	0	0	0
5	jkt-dikti	combined	Drop	0	0	0	0
5	bandung	combined	Drop	0	0	0	0
5	semarang	combined	Drop	0	0	0	0
5	jogjakarta	combined	Drop	0	0	0	0
5	surabaya	combined	Drop	0	0	0	0
5	malang	combined	Drop	0	0	0	0
5	pontianak	combined	Drop	0	0	0	0
5	palangkaraya	combined	Drop	0	0	0	0
5	banjarmasin	combined	Drop	0	0	0	0
5	samarinda	combined	Drop	0	0	0	0
5	gorontalo	combined	Drop	0	0	0	0
5	manado	combined	Drop	0	0	0	0
5	palu	combined	Drop	0	0	0	0
5	makasar	combined	Drop	0	0	0	0
5	kendari	combined	Drop	443	463	222	231.756
5	denpasar	combined	Drop	0	0	0	0
5	mataram	combined	Drop	0	0	0	0
5	kupang	combined	Drop	0	0	0	0
5	ternate	combined	Drop	0	0	0	0
5	ambon	combined	Drop	0	0	0	0
5	manokwari	combined	Drop	0	0	0	0
5	jayapura	combined	Drop	0	0	0	0
5	host	combined	Drop	0	0	0	0
5.5	banda-aceh	combined	Drop	0	0	0	0
5.5	medan	combined	Drop	0	0	0	0
5.5	padang	combined	Drop	0	0	0	0
5.5	jambi	combined	Drop	0	0	0	0
5.5	pekanbaru	combined	Drop	0	0	0	0
5.5	bengkulu	combined	Drop	0	0	0	0
5.5	palembang	combined	Drop	0	0	0	0
5.5	bandar-lampung	combined	Drop	0	0	0	0
5.5	serang	combined	Drop	0	0	0	0
5.5	jkt-ui	combined	Drop	0	0	0	0
5.5	jkt-dikti	combined	Drop	0	0	0	0
5.5	bandung	combined	Drop	0	0	0	0
5.5	semarang	combined	Drop	0	0	0	0
5.5	jogjakarta	combined	Drop	0	0	0	0
5.5	surabaya	combined	Drop	0	0	0	0
5.5	malang	combined	Drop	0	0	0	0
5.5	pontianak	combined	Drop	0	0	0	0
5.5	palangkaraya	combined	Drop	0	0	0	0
5.5	banjarmasin	combined	Drop	0	0	0	0
5.5	samarinda	combined	Drop	0	0	0	0
5.5	gorontalo	combined	Drop	0	0	0	0
5.5	manado	combined	Drop	0	0	0	0
5.5	palu	combined	Drop	0	0	0	0
5.5	makasar	combined	Drop	0	0	0	0
5.5	kendari	combined	Drop	442	461	221	230.712
5.5	denpasar	combined	Drop	0	0	0	0
5.5	mataram	combined	Drop	0	0	0	0
5.5	kupang	combined	Drop	0	0	0	0
5.5	ternate	combined	Drop	0	0	0	0
5.5	ambon	combined	Drop	0	0	0	0
5.5	manokwari	combined	Drop	0	0	0	0
5.5	jayapura	combined	Drop	0	0	0	0
5.5	host	combined	Drop	0	0	0	0
6	banda-aceh	combined	Drop	0	0	0	0
6	medan	combined	Drop	0	0	0	0
6	padang	combined	Drop	0	0	0	0
6	jambi	combined	Drop	0	0	0	0
6	pekanbaru	combined	Drop	0	0	0	0
6	bengkulu	combined	Drop	0	0	0	0
6	palembang	combined	Drop	0	0	0	0
6	bandar-lampung	combined	Drop	0	0	0	0
6	serang	combined	Drop	0	0	0	0
6	jkt-ui	combined	Drop	0	0	0	0
6	jkt-dikti	combined	Drop	0	0	0	0
6	bandung	combined	Drop	0	0	0	0
6	semarang	combined	Drop	0	0	0	0
6	jogjakarta	combined	Drop	0	0	0	0
6	surabaya	combined	Drop	0	0	0	0
6	malang	combined	Drop	0	0	0	0
6	pontianak	combined	Drop	0	0	0	0
6	palangkaraya	combined	Drop	0	0	0	0
6	banjarmasin	combined	Drop	0	0	0	0
6	samarinda	combined	Drop	0	0	0	0
6	gorontalo	combined	Drop	0	0	0	0
6	manado	combined	Drop	0	0	0	0
6	palu	combined	Drop	0	0	0	0
6	makasar	combined	Drop	0	0	0	0
6	kendari	combined	Drop	442	461	221	230.712
6	denpasar	combined	Drop	0	0	0	0
6	mataram	combined	Drop	0	0	0	0
6	kupang	combined	Drop	0	0	0	0
6	ternate	combined	Drop	0	0	0	0
6	ambon	combined	Drop	0	0	0	0
6	manokwari	combined	Drop	0	0	0	0
6	jayapura	combined	Drop	0	0	0	0
6	host	combined	Drop	0	0	0	0
6.5	banda-aceh	combined	Drop	0	0	0	0
6.5	medan	combined	Drop	0	0	0	0
6.5	padang	combined	Drop	0	0	0	0
6.5	jambi	combined	Drop	0	0	0	0
6.5	pekanbaru	combined	Drop	0	0	0	0
6.5	bengkulu	combined	Drop	0	0	0	0
6.5	palembang	combined	Drop	0	0	0	0
6.5	bandar-lampung	combined	Drop	0	0	0	0
6.5	serang	combined	Drop	0	0	0	0
6.5	jkt-ui	combined	Drop	0	0	0	0
6.5	jkt-dikti	combined	Drop	0	0	0	0
6.5	bandung	combined	Drop	0	0	0	0
6.5	semarang	combined	Drop	0	0	0	0
6.5	jogjakarta	combined	Drop	0	0	0	0
6.5	surabaya	combined	Drop	0	0	0	0
6.5	malang	combined	Drop	0	0	0	0
6.5	pontianak	combined	Drop	0	0	0	0
6.5	palangkaraya	combined	Drop	0	0	0	0
6.5	banjarmasin	combined	Drop	0	0	0	0
6.5	samarinda	combined	Drop	0	0	0	0
6.5	gorontalo	combined	Drop	0	0	0	0
6.5	manado	combined	Drop	0	0	0	0
6.5	palu	combined	Drop	0	0	0	0
6.5	makasar	combined	Drop	0	0	0	0
6.5	kendari	combined	Drop	442	461	221	230.712
6.5	denpasar	combined	Drop	0	0	0	0
6.5	mataram	combined	Drop	0	0	0	0
6.5	kupang	combined	Drop	0	0	0	0
6.5	ternate	combined	Drop	0	0	0	0
6.5	ambon	combined	Drop	0	0	0	0
6.5	manokwari	combined	Drop	0	0	0	0
6.5	jayapura	combined	Drop	0	0	0	0
6.5	host	combined	Drop	0	0	0	0
7	banda-aceh	combined	Drop	0	0	0	0
7	medan	combined	Drop	0	0	0	0
7	padang	combined	Drop	0	0	0	0
7	jambi	combined	Drop	0	0	0	0
7	pekanbaru	combined	Drop	0	0	0	0
7	bengkulu	combined	Drop	0	0	0	0
7	palembang	combined	Drop	0	0	0	0
7	bandar-lampung	combined	Drop	0	0	0	0
7	serang	combined	Drop	0	0	0	0
7	jkt-ui	combined	Drop	0	0	0	0
7	jkt-dikti	combined	Drop	0	0	0	0
7	bandung	combined	Drop	0	0	0	0
7	semarang	combined	Drop	0	0	0	0
7	jogjakarta	combined	Drop	0	0	0	0
7	surabaya	combined	Drop	0	0	0	0
7	malang	combined	Drop	0	0	0	0
7	pontianak	combined	Drop	0	0	0	0
7	palangkaraya	combined	Drop	0	0	0	0
7	banjarmasin	combined	Drop	0	0	0	0
7	samarinda	combined	Drop	0	0	0	0
7	gorontalo	combined	Drop	0	0	0	0
7	manado	combined	Drop	0	0	0	0
7	palu	combined	Drop	0	0	0	0
7	makasar	combined	Drop	0	0	0	0
7	kendari	combined	Drop	442	461	221	230.712
7	denpasar	combined	Drop	0	0	0	0
7	mataram	combined	Drop	0	0	0	0
7	kupang	combined	Drop	0	0	0	0
7	ternate	combined	Drop	0	0	0	0
7	ambon	combined	Drop	0	0	0	0
7	manokwari	combined	Drop	0	0	0	0
7	jayapura	combined	Drop	0	0	0	0
7	host	combined	Drop	0	0	0	0
7.5	banda-aceh	combined	Drop	0	0	0	0
7.5	medan	combined	Drop	0	0	0	0
7.5	padang	combined	Drop	0	0	0	0
7.5	jambi	combined	Drop	0	0	0	0
7.5	pekanbaru	combined	Drop	0	0	0	0
7.5	bengkulu	combined	Drop	0	0	0	0
7.5	palembang	combined	Drop	0	0	0	0
7.5	bandar-lampung	combined	Drop	0	0	0	0
7.5	serang	combined	Drop	0	0	0	0
7.5	jkt-ui	combined	Drop	0	0	0	0
7.5	jkt-dikti	combined	Drop	0	0	0	0
7.5	bandung	combined	Drop	0	0	0	0
7.5	semarang	combined	Drop	0	0	0	0
7.5	jogjakarta	combined	Drop	0	0	0	0
7.5	surabaya	combined	Drop	0	0	0	0
7.5	malang	combined	Drop	0	0	0	0
7.5	pontianak	combined	Drop	0	0	0	0
7.5	palangkaraya	combined	Drop	0	0	0	0
7.5	banjarmasin	combined	Drop	0	0	0	0
7.5	samarinda	combined	Drop	0	0	0	0
7.5	gorontalo	combined	Drop	0	0	0	0
7.5	manado	combined	Drop	0	0	0	0
7.5	palu	combined	Drop	0	0	0	0
7.5	makasar	combined	Drop	0	0	0	0
7.5	kendari	combined	Drop	442	461	221	230.712
7.5	denpasar	combined	Drop	0	0	0	0
7.5	mataram	combined	Drop	0	0	0	0
7.5	kupang	combined	Drop	0	0	0	0
7.5	ternate	combined	Drop	0	0	0	0
7.5	ambon	combined	Drop	0	0	0	0
7.5	manokwari	combined	Drop	0	0	0	0
7.5	jayapura	combined	Drop	0	0	0	0
7.5	host	combined	Drop	0	0	0	0
8	banda-aceh	combined	Drop	0	0	0	0
8	medan	combined	Drop	0	0	0	0
8	padang	combined	Drop	0	0	0	0
8	jambi	combined	Drop	0	0	0	0
8	pekanbaru	combined	Drop	0	0	0	0
8	bengkulu	combined	Drop	0	0	0	0
8	palembang	combined	Drop	0	0	0	0
8	bandar-lampung	combined	Drop	0	0	0	0
8	serang	combined	Drop	0	0	0	0
8	jkt-ui	combined	Drop	0	0	0	0
8	jkt-dikti	combined	Drop	0	0	0	0
8	bandung	combined	Drop	0	0	0	0
8	semarang	combined	Drop	0	0	0	0
8	jogjakarta	combined	Drop	0	0	0	0
8	surabaya	combined	Drop	0	0	0	0
8	malang	combined	Drop	0	0	0	0
8	pontianak	combined	Drop	0	0	0	0
8	palangkaraya	combined	Drop	0	0	0	0
8	banjarmasin	combined	Drop	0	0	0	0
8	samarinda	combined	Drop	0	0	0	0
8	gorontalo	combined	Drop	0	0	0	0
8	manado	combined	Drop	0	0	0	0
8	palu	combined	Drop	0	0	0	0
8	makasar	combined	Drop	0	0	0	0
8	kendari	combined	Drop	442	461	221	230.712
8	denpasar	combined	Drop	0	0	0	0
8	mataram	combined	Drop	0	0	0	0
8	kupang	combined	Drop	0	0	0	0
8	ternate	combined	Drop	0	0	0	0
8	ambon	combined	Drop	0	0	0	0
8	manokwari	combined	Drop	0	0	0	0
8	jayapura	combined	Drop	0	0	0	0
8	host	combined	Drop	0	0	0	0
8.5	banda-aceh	combined	Drop	0	0	0	0
8.5	medan	combined	Drop	0	0	0	0
8.5	padang	combined	Drop	0	0	0	0
8.5	jambi	combined	Drop	0	0	0	0
8.5	pekanbaru	combined	Drop	0	0	0	0
8.5	bengkulu	combined	Drop	0	0	0	0
8.5	palembang	combined	Drop	0	0	0	0
8.5	bandar-lampung	combined	Drop	0	0	0	0
8.5	serang	combined	Drop	0	0	0	0
8.5	jkt-ui	combined	Drop	0	0	0	0
8.5	jkt-dikti	combined	Drop	0	0	0	0
8.5	bandung	combined	Drop	0	0	0	0
8.5	semarang	combined	Drop	0	0	0	0
8.5	jogjakarta	combined	Drop	0	0	0	0
8.5	surabaya	combined	Drop	0	0	0	0
8.5	malang	combined	Drop	0	0	0	0
8.5	pontianak	combined	Drop	0	0	0	0
8.5	palangkaraya	combined	Drop	0	0	0	0
8.5	banjarmasin	combined	Drop	0	0	0	0
8.5	samarinda	combined	Drop	0	0	0	0
8.5	gorontalo	combined	Drop	0	0	0	0
8.5	manado	combined	Drop	0	0	0	0
8.5	palu	combined	Drop	0	0	0	0
8.5	makasar	combined	Drop	0	0	0	0
8.5	kendari	combined	Drop	442	461	221	230.712
8.5	denpasar	combined	Drop	0	0	0	0
